county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024,demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
TYRRELL,849,731,933,837,720,758,680,706,855,960,930,975,1044,1057,54.6,45.4,46.09,53.91,49.29,50.71,47.37,52.63,42.48,57.52,42.06,57.94,39.15,60.85
UNION,14890,17974,31189,32473,34337,48725,51168,31876,42820,54123,61107,66707,80382,86271,31.84,68.16,29.57,70.43,36.56,63.44,34.7,65.3,33.98,66.02,37.74,62.26,37.23,62.77
VANCE,7092,8762,13166,13323,12229,12431,11292,5564,6884,7606,7429,7332,8391,8614,56.04,43.96,56.0,44.0,63.38,36.62,64.2,35.8,62.52,37.48,59.7,40.3,56.73,43.27
WAKE,123466,169909,250891,267262,302736,393336,402984,142494,177324,187001,211596,196082,226197,236735,46.42,53.58,48.93,51.07,57.3,42.7,55.81,44.19,60.69,39.31,63.49,36.51,62.99,37.01
WARREN,4576,5171,7086,6978,6413,6400,5872,2202,2840,3063,3140,3214,3752,3976,67.51,32.49,64.55,35.45,69.82,30.18,68.97,31.03,66.61,33.39,63.04,36.96,59.63,40.37
WASHINGTON,2704,2969,3748,3833,3510,3396,3138,2169,2484,2670,2622,2564,2781,2768,55.49,44.51,54.45,45.55,58.4,41.6,59.38,40.62,57.79,42.21,54.98,45.02,53.13,46.87
WATAUGA,7959,11232,14558,13002,14138,17122,17225,10438,12659,13344,13861,13697,14451,15254,43.26,56.74,47.01,52.99,52.18,47.82,48.4,51.6,50.79,49.21,54.23,45.77,53.03,46.97
WAYNE,13005,15076,22671,23314,21770,24215,22618,20758,24883,26952,27641,27540,30709,31580,38.52,61.48,37.73,62.27,45.69,54.31,45.75,54.25,44.15,55.85,44.09,55.91,41.73,58.27
WILKES,7226,7862,8934,8148,6638,7511,7194,16826,19197,20288,20515,23752,27592,28812,30.04,69.96,29.06,70.94,30.57,69.43,28.43,71.57,21.84,78.16,21.4,78.6,19.98,80.02
WILSON,11266,14206,19652,20875,19663,20754,19909,13466,16264,17375,17954,17531,19581,19750,45.55,54.45,46.62,53.38,53.07,46.93,53.76,46.24,52.87,47.13,51.45,48.55,50.2,49.8
YADKIN,3127,3451,4527,3957,3160,3763,3739,10435,11816,12409,12578,13880,15933,16439,23.06,76.94,22.6,77.4,26.73,73.27,23.93,76.07,18.54,81.46,19.11,80.89,18.53,81.47
YANCEY,3714,4434,4486,3981,3196,3688,3635,4970,4940,5045,5278,6385,7516,7509,42.77,57.23,47.3,52.7,47.07,52.93,43.0,57.0,33.36,66.64,32.92,67.08,32.62,67.38
